time,ecg
1,515
2,515
3,515
4,515
5,513
6,511
7,508
8,507
9,508
10,509
11,509
12,510
13,511
14,511
15,512
16,514
17,514
18,514
19,513
20,512
21,511
22,510
23,509
24,508
25,507
26,506
27,505
28,503
29,500
30,496
31,492
32,484
33,475
34,465
35,455
36,445
37,438
38,433
39,430
40,431
41,434
42,439
43,444
44,448
45,451
46,451
47,454
48,458
49,467
50,477
51,489
52,506
53,525
54,546
55,568
56,591
57,616
58,646
59,679
60,713
61,748
62,784
63,821
64,856
65,884
66,905
67,921
68,931
69,938
70,941
71,942
72,938
73,928
74,914
75,896
76,874
77,848
78,824
79,801
80,779
81,755
82,730
83,704
84,679
85,655
86,633
87,611
88,589
89,570
90,553
91,536
92,519
93,502
94,486
95,473
96,462
97,452
98,444
99,437
100,431
101,425
102,420
103,416
104,413
105,409
106,405
107,400
108,397
109,394
110,392
111,391
112,390
113,388
114,386
115,385
116,384
117,383
118,384
119,385
120,385
121,385
122,385
123,385
124,386
125,387
126,388
127,390
128,390
129,390
130,389
131,391
132,395
133,398
134,400
135,402
136,405
137,406
138,407
139,407
140,408
141,409
142,409
143,408
144,408
145,408
146,409
147,411
148,412
149,412
150,412
151,414
152,416
153,417
154,418
155,418
156,419
157,421
158,423
159,424
160,424
161,425
162,427
163,428
164,430
165,429
166,430
167,431
168,430
169,430
170,431
171,431
172,430
173,429
174,429
175,429
176,430
177,431
178,432
179,434
180,436
181,439
182,440
183,442
184,443
185,443
186,444
187,444
188,444
189,444
190,444
191,443
192,443
193,443
194,444
195,445
196,445
197,446
198,446
199,447
200,447
201,446
202,446
203,446
204,446
205,445
206,443
207,443
208,442
209,444
210,449
211,454
212,458
213,460
214,462
215,464
216,465
217,465
218,464
219,462
220,460
221,461
222,460
223,460
224,461
225,461
226,462
227,463
228,463
229,464
230,463
231,463
232,462
233,463
234,465
235,467
236,468
237,469
238,469
239,469
240,470
241,471
242,471
243,471
244,471
245,470
246,468
247,467
248,467
249,470
250,471
251,470
252,467
253,465
254,465
255,466
256,466
257,468
258,472
259,474
260,477
261,479
262,481
263,482
264,483
265,485
266,486
267,487
268,488
269,490
270,492
271,493
272,494
273,494
274,495
275,495
276,494
277,494
278,493
279,492
280,491
281,491
282,492
283,495
284,497
285,499
286,502
287,506
288,510
289,512
290,513
291,512
292,513
293,516
294,518
295,517
296,515
297,516
298,518
299,519
300,521
301,522
302,523
303,524
304,525
305,527
306,528
307,529
308,528
309,528
310,529
311,531
312,531
313,531
314,532
315,534
316,535
317,535
318,534
319,533
320,533
321,534
322,536
323,537
324,537
325,536
326,536
327,536
328,536
329,536
330,537
331,537
332,537
333,537
334,539
