626	635	647	692	677	722	753	766	884	892	905	520	452	758	440	477
1147	1156	1166	1387	1374	1418	1455	1450	1566	1575	1589	533	448	765	427	479
2003	2010	2026	2088	2074	2117	2156	2145	2366	2390	2404	528	440	745	440	510
2646	2655	2666	2769	2755	2799	2834	2843	2944	2950	2988	531	438	732	392	518
3384	3397	3404	3470	3457	3501	3534	3528	3744	3755	3768	494	470	796	479	560
4083	4094	4106	4167	4153	4198	4231	4243	4305	4328	4343	593	510	823	490	518
4606	4614	4625	4841	4825	4871	4915	4903	4986	4995	5004	543	464	764	452	482
5424	5434	5444	5547	5534	5578	5614	5607	5845	5855	5863	533	454	760	427	507
6064	6072	6084	6249	6235	6279	6312	6325	6565	6584	6602	518	433	756	412	476
6824	6834	6843	6943	6931	6973	nan	7003	nan	nan	nan	522	457	776	455	518
7403	7412	7424	7626	7612	7656	7694	7684	7803	7815	7824	587	502	818	477	568
8282	8292	8303	8336	8318	8366	8414	8401	8502	8523	8544	577	516	822	503	469
8905	8910	8922	9038	9020	9067	nan	9103	nan	nan	nan	489	344	622	313	528
9663	9674	9682	9741	9729	9772	9815	9804	9924	9929	9943	496	430	744	409	526
10207	10211	10222	10444	10431	10474	10515	10503	10763	10774	10783	502	415	728	413	553
11021	11032	11043	11127	11113	11157	11189	11201	11444	11461	11482	530	462	762	441	423
11764	11774	11783	11832	11817	11863	nan	12020	nan	nan	nan	582	545	853	145	531
12400	12410	12419	12511	12496	12542	12593	12579	12781	12806	12822	589	525	827	491	515
13061	13072	13082	13174	13155	13203	nan	13239	nan	nan	nan	561	503	795	493	524
13581	13672	13685	13830	13812	13860	13906	14021	14123	14147	14162	733	527	807	406	527
14440	14454	14461	14497	14482	14527	nan	14560	nan	nan	nan	447	395	709	385	531
15078	15098	15103	15187	15173	15217	nan	15247	nan	nan	nan	511	454	747	436	532
15761	15769	15782	15878	15864	15907	15953	15942	16159	16171	16182	525	455	767	432	528
16381	16388	16401	16596	16580	16625	16671	16659	16902	16923	16941	515	444	756	431	528
17081	17093	17101	17301	17289	17331	nan	17362	nan	nan	nan	509	447	760	432	526
17883	17927	17939	18023	18010	18054	nan	18082	nan	nan	nan	510	440	755	433	645
18562	18571	18580	18766	18752	18797	18893	18823	19060	19075	19084	513	443	753	421	459
19440	19449	19462	19496	19481	19525	19569	19559	19780	19804	19819	531	463	759	447	413
20121	20131	20140	20228	20213	20258	20312	20283	20521	20542	20559	524	455	766	446	525
20839	20850	20861	20960	20948	20990	21032	21022	21260	21280	21300	530	460	761	438	529
21558	21570	21578	21680	21666	21710	21749	21738	21956	21972	21979	516	446	757	442	562
22241	22251	22260	22405	22390	22435	nan	22478	nan	nan	nan	529	454	762	438	582
23018	23031	23040	23137	23123	23167	23230	23199	23421	23438	23457	521	444	748	439	546
23638	23648	23660	23842	23828	23871	23905	23917	24116	24135	24157	518	449	753	430	522
