time,ecg
1,548
2,548
3,548
4,549
5,550
6,551
7,552
8,552
9,552
10,552
11,552
12,551
13,551
14,550
15,547
16,546
17,546
18,547
19,548
20,548
21,549
22,549
23,549
24,549
25,548
26,547
27,546
28,545
29,544
30,543
31,543
32,544
33,543
34,541
35,540
36,540
37,537
38,539
39,540
40,540
41,542
42,543
43,545
44,546
45,546
46,545
47,544
48,545
49,545
50,545
51,545
52,544
53,545
54,543
55,542
56,543
57,543
58,544
59,544
60,544
61,545
62,545
63,546
64,546
65,546
66,545
67,546
68,546
69,547
70,547
71,546
72,544
73,544
74,543
75,543
76,544
77,543
78,542
79,541
80,540
81,540
82,539
83,536
84,531
85,523
86,511
87,496
88,477
89,455
90,428
91,400
92,371
93,344
94,320
95,297
96,275
97,257
98,240
99,229
100,222
101,221
102,230
103,245
104,271
105,316
106,375
107,444
108,521
109,596
110,668
111,730
112,783
113,828
114,866
115,897
116,922
117,939
118,956
119,976
120,1005
121,1022
122,1022
123,1022
124,1022
125,1022
126,1022
127,1022
128,1022
129,995
130,960
131,924
132,887
133,852
134,820
135,789
136,759
137,728
138,700
139,673
140,646
141,621
142,596
143,576
144,557
145,539
146,522
147,509
148,497
149,487
150,479
151,472
152,465
153,460
154,456
155,455
156,450
157,447
158,446
159,446
160,444
161,443
162,443
163,442
164,441
165,442
166,443
167,444
168,444
169,445
170,445
171,445
172,444
173,443
174,443
175,442
176,443
177,443
178,443
179,444
180,445
181,446
182,448
183,448
184,449
185,451
186,452
187,452
188,452
189,451
190,451
191,450
192,450
193,451
194,452
195,455
196,455
197,454
198,453
199,454
200,454
201,455
202,455
203,456
204,455
205,455
206,455
207,454
208,454
209,453
210,452
211,452
212,449
213,449
214,448
215,446
216,445
217,445
218,445
219,443
220,441
221,441
222,440
223,440
224,441
225,440
226,440
227,440
228,439
229,438
230,439
231,438
232,438
233,439
234,439
235,440
236,440
237,442
238,441
239,442
240,442
241,442
242,440
243,440
244,438
245,438
246,440
247,440
248,440
249,441
250,441
251,441
252,440
253,440
254,441
255,442
256,443
257,444
258,443
259,443
260,441
261,440
262,440
263,440
264,442
265,443
266,443
267,445
268,444
269,444
270,442
271,442
272,440
273,437
274,435
275,434
276,434
277,434
278,435
279,435
280,435
281,435
282,433
283,433
284,432
285,431
286,430
287,429
288,430
289,430
290,430
291,430
292,429
293,428
294,428
295,427
296,426
297,426
298,426
299,426
300,425
301,425
302,425
303,426
304,427
305,427
306,427
307,427
308,428
309,430
310,430
311,431
312,432
313,432
314,433
315,434
316,436
317,437
318,438
319,439
320,438
321,438
322,440
323,441
324,442
325,441
326,440
327,442
328,443
329,443
330,443
331,444
332,443
333,444
334,445
335,445
336,445
337,445
338,445
339,447
340,446
341,446
342,446
343,448
344,449
345,450
346,451
347,452
348,452
349,453
350,452
351,453
352,451
353,451
354,449
355,448
356,446
357,442
358,439
359,438
360,436
361,435
362,434
363,431
364,426
365,423
366,420
367,419
368,416
369,412
370,409
371,406
372,401
373,396
374,392
375,389
376,386
377,383
378,380
379,379
380,376
381,373
382,371
383,369
384,368
385,368
386,365
387,364
388,361
389,359
390,358
391,358
392,357
393,356
394,356
395,355
396,355
397,355
398,355
399,355
400,355
401,355
402,354
403,355
404,355
