time,ecg
1,509
2,509
3,509
4,510
5,510
6,511
7,511
8,511
9,512
10,511
11,512
12,511
13,512
14,512
15,512
16,512
17,512
18,512
19,512
20,511
21,511
22,511
23,511
24,510
25,510
26,510
27,509
28,509
29,507
30,507
31,508
32,508
33,508
34,508
35,509
36,509
37,509
38,509
39,509
40,509
41,509
42,508
43,508
44,507
45,507
46,507
47,507
48,507
49,507
50,507
51,507
52,507
53,507
54,508
55,508
56,509
57,510
58,511
59,511
60,511
61,512
62,512
63,514
64,515
65,516
66,517
67,518
68,519
69,519
70,519
71,519
72,518
73,518
74,518
75,518
76,518
77,519
78,519
79,520
80,520
81,520
82,520
83,520
84,520
85,520
86,521
87,521
88,521
89,521
90,521
91,521
92,521
93,520
94,519
95,519
96,519
97,519
98,519
99,518
100,517
101,517
102,516
103,515
104,515
105,514
106,514
107,514
108,514
109,515
110,515
111,515
112,514
113,514
114,514
115,514
116,514
117,513
118,513
119,513
120,513
121,513
122,512
123,512
124,512
125,512
126,511
127,512
128,512
129,512
130,511
131,511
132,510
133,510
134,510
135,509
136,509
137,509
138,508
139,507
140,506
141,506
142,505
143,505
144,504
145,504
146,504
147,504
148,504
149,504
150,504
151,505
152,505
153,506
154,507
155,507
156,508
157,507
158,508
159,507
160,507
161,506
162,505
163,503
164,501
165,499
166,496
167,494
168,490
169,486
170,484
171,482
172,481
173,483
174,485
175,489
176,494
177,498
178,502
179,507
180,512
181,518
182,523
183,527
184,531
185,534
186,537
187,538
188,540
189,542
190,545
191,548
192,551
193,555
194,560
195,563
196,566
197,568
198,570
199,569
200,567
201,563
202,560
203,556
204,552
205,548
206,547
207,548
208,548
209,547
210,546
211,546
212,546
213,546
214,546
215,544
216,543
217,540
218,537
219,535
220,531
221,527
222,523
223,519
224,516
225,513
226,511
227,508
228,504
229,501
230,499
231,496
232,494
233,492
234,490
235,488
236,487
237,486
238,485
239,484
240,483
241,482
242,481
243,480
244,480
245,480
246,480
247,479
248,479
249,479
250,480
251,481
252,481
253,482
254,483
255,483
256,484
257,485
258,486
259,487
260,487
261,488
262,488
263,488
264,488
265,488
266,489
267,489
268,489
269,489
270,488
271,488
272,488
273,488
274,488
275,488
276,488
277,489
278,489
279,488
280,488
281,488
282,488
283,488
284,488
285,489
286,489
287,489
288,489
289,489
290,488
291,487
292,487
293,487
294,487
295,487
296,486
297,486
298,485
299,485
300,485
301,485
302,485
303,485
304,485
305,484
306,485
307,486
308,486
309,487
310,487
311,487
312,487
313,487
314,487
315,487
316,487
317,487
318,487
319,486
320,486
321,486
322,486
323,487
324,486
325,485
326,485
327,485
328,486
329,485
330,486
331,488
332,489
333,491
334,492
335,493
336,493
337,493
338,492
339,492
340,493
341,494
342,493
343,494
344,495
345,495
346,496
347,497
348,497
349,497
350,497
351,497
352,497
353,497
354,497
355,497
356,497
357,497
358,496
359,495
360,495
361,495
362,495
363,495
364,495
365,495
366,496
367,496
368,497
369,498
370,499
371,500
372,500
373,501
374,501
375,502
376,502
377,502
378,503
379,503
380,502
381,502
382,500
383,500
384,499
385,499
386,499
387,499
388,500
389,502
390,503
391,504
392,504
393,505
394,507
395,508
396,508
397,507
398,508
399,508
400,509
401,509
402,509
403,510
404,510
405,511
406,511
407,511
408,512
409,511
410,510
411,510
412,510
413,510
414,509
415,510
416,510
417,511
418,512
419,513
420,514
421,515
422,515
423,516
424,517
425,517
426,518
427,517
428,517
429,516
430,517
431,517
432,517
433,516
434,515
435,515
436,516
437,516
438,516
439,515
440,515
441,515
442,514
443,513
444,513
445,513
446,514
447,514
448,515
449,515
450,514
451,513
452,512
453,512
454,510
455,509
456,507
457,506
458,506
459,505
460,504
461,503
462,502
463,502
464,501
465,501
466,501
467,500
468,499
469,498
470,498
471,497
472,497
473,496
474,496
475,495
476,495
477,494
478,493
479,493
480,493
481,492
482,492
483,491
484,491
485,491
486,491
487,491
488,491
489,491
490,490
491,490
492,490
493,490
494,491
495,491
496,491
497,492
498,492
499,492
500,492
501,492
502,492
503,492
504,493
505,493
506,493
507,492
508,493
509,493
510,494
511,494
512,493
513,492
514,492
515,493
516,493
517,494
518,495
519,495
520,496
521,496
522,496
523,496
524,496
525,496
526,497
527,497
528,498
529,499
530,499
531,499
532,499
533,499
534,500
535,500
536,500
537,500
538,501
539,501
540,501
541,501
542,500
543,501
544,501
545,502
546,503
547,504
548,504
549,504
550,504
551,505
552,504
553,504
554,503
555,503
556,502
557,502
558,501
559,501
560,502
561,502
562,503
563,504
564,505
565,505
566,507
567,508
568,509
569,510
570,511
571,511
572,511
573,511
574,511
575,510
576,511
577,510
578,510
579,509
580,509
581,508
582,508
583,508
584,509
585,509
586,510
587,510
588,510
589,511
590,511
591,512
592,512
593,512
594,513
595,514
596,514
597,514
598,514
599,514
600,512
601,512
602,512
603,512
604,512
605,512
606,512
607,512
608,512
609,512
610,513
611,513
612,513
613,515
614,515
615,516
616,517
617,516
618,515
