time,ecg
1,470
2,470
3,469
4,469
5,469
6,468
7,468
8,468
9,467
10,468
11,469
12,469
13,470
14,469
15,468
16,467
17,466
18,465
19,464
20,464
21,465
22,465
23,465
24,466
25,465
26,465
27,466
28,466
29,467
30,467
31,467
32,467
33,468
34,467
35,468
36,468
37,468
38,469
39,469
40,470
41,470
42,470
43,470
44,471
45,471
46,472
47,472
48,473
49,473
50,473
51,473
52,472
53,472
54,472
55,472
56,472
57,473
58,473
59,474
60,475
61,476
62,476
63,477
64,477
65,478
66,479
67,480
68,482
69,483
70,486
71,487
72,487
73,487
74,487
75,489
76,489
77,489
78,491
79,492
80,493
81,495
82,496
83,497
84,498
85,500
86,500
87,503
88,505
89,506
90,507
91,507
92,507
93,507
94,507
95,507
96,507
97,509
98,510
99,511
100,512
101,512
102,512
103,511
104,512
105,513
106,514
107,515
108,515
109,516
110,518
111,518
112,519
113,520
114,520
115,520
116,520
117,520
118,520
119,519
120,519
121,519
122,519
123,518
124,518
125,518
126,519
127,519
128,519
129,518
130,517
131,515
132,513
133,512
134,511
135,511
136,511
137,510
138,511
139,510
140,509
141,508
142,507
143,506
144,506
145,506
146,505
147,504
148,503
149,502
150,502
151,502
152,501
153,501
154,501
155,502
156,501
157,502
158,501
159,500
160,499
161,497
162,497
163,495
164,494
165,494
166,494
167,496
168,496
169,498
170,499
171,499
172,500
173,500
174,499
175,498
176,497
177,496
178,496
179,496
180,497
181,498
182,499
183,499
184,499
185,498
186,498
187,497
188,496
189,497
190,498
191,498
192,497
193,497
194,496
195,496
196,495
197,495
198,496
199,496
200,496
201,497
202,497
203,497
204,496
205,496
206,495
207,494
208,493
209,493
210,493
211,494
212,495
213,494
214,494
215,494
216,494
217,494
218,494
219,495
220,495
221,495
222,496
223,496
224,496
225,496
226,498
227,499
228,498
229,499
230,499
231,499
232,500
233,500
234,501
235,501
236,501
237,500
238,500
239,501
240,500
241,500
242,500
243,499
244,500
245,500
246,502
247,504
248,505
249,505
250,506
251,506
252,507
253,507
254,507
255,506
256,504
257,504
258,503
259,503
260,503
261,503
262,503
263,503
264,503
265,504
266,505
267,506
268,508
269,510
270,511
271,511
272,510
273,509
274,508
275,508
276,508
277,508
278,507
279,508
280,509
281,509
282,510
283,510
284,511
285,511
286,511
287,511
288,511
289,510
290,510
291,511
292,512
293,514
294,516
295,517
296,518
297,519
298,519
299,519
300,519
301,519
302,519
303,519
304,518
305,519
306,518
307,518
308,519
309,519
310,518
311,518
312,518
313,518
314,518
315,518
316,518
317,518
318,518
319,518
320,516
321,515
322,516
323,516
324,517
325,518
326,519
327,518
328,518
329,516
330,515
331,515
332,516
333,518
334,518
335,518
336,519
337,519
338,519
339,519
340,519
341,519
342,520
343,520
344,520
345,521
346,522
347,523
348,524
349,524
350,524
351,526
352,525
353,524
354,524
355,524
356,523
357,523
358,523
359,524
360,525
361,525
362,525
363,525
364,524
365,523
366,522
367,522
368,521
369,521
370,521
371,521
372,521
373,521
374,520
375,519
376,519
377,519
378,518
379,519
380,519
381,518
382,519
383,519
384,519
385,519
386,519
387,519
388,519
389,520
390,521
391,521
392,520
393,520
394,519
395,519
396,518
397,517
398,517
399,518
400,519
401,520
402,519
403,519
404,518
405,519
406,519
407,519
408,519
409,519
410,520
411,519
412,519
413,520
414,521
415,523
416,524
417,524
418,524
419,525
420,527
421,527
422,528
423,528
424,527
425,527
426,526
427,526
428,527
429,528
430,529
431,530
432,530
433,531
434,532
435,533
436,533
437,533
438,533
439,533
440,533
441,532
442,533
443,533
444,533
445,532
446,531
447,531
448,531
449,531
450,531
451,531
452,531
453,531
454,532
455,532
456,532
457,533
458,532
459,531
460,530
461,529
462,526
463,524
464,520
465,519
466,521
467,525
468,527
469,529
470,529
471,529
472,529
473,528
474,528
475,528
476,527
477,526
478,526
479,526
480,526
481,526
482,525
483,525
484,524
485,524
486,523
487,524
488,523
489,522
490,521
491,520
492,519
493,519
494,518
495,518
496,517
497,517
498,517
499,517
500,517
501,517
502,516
503,516
504,515
505,514
506,514
507,513
508,513
509,512
510,510
511,509
512,508
513,508
514,507
515,507
516,508
517,508
518,507
519,507
520,507
521,507
522,507
523,507
524,507
525,505
526,505
527,505
528,505
529,504
530,503
531,501
532,500
533,500
534,499
535,499
536,499
537,500
538,501
539,500
540,500
541,499
542,497
543,497
544,497
545,497
546,497
547,497
548,496
549,496
550,495
551,494
552,492
553,492
554,492
555,492
556,492
557,492
558,492
559,493
560,493
561,493
562,494
563,494
564,493
565,493
566,493
567,493
568,493
569,493
570,494
571,494
572,494
573,495
574,496
575,495
576,495
577,494
578,496
579,496
580,497
581,497
582,497
583,497
584,497
585,497
586,497
587,499
588,500
589,502
590,503
591,504
592,504
593,503
594,503
595,502
596,502
597,501
598,501
599,501
600,501
601,501
602,502
603,502
604,502
605,502
606,503
607,504
608,503
609,502
610,502
611,501
612,500
613,499
614,499
615,499
616,499
617,499
618,499
619,499
620,499
621,499
622,500
623,500
624,500
625,499
626,499
627,499
628,500
629,501
630,502
631,503
632,503
633,504
634,506
635,506
636,505
637,503
638,502
639,502
640,501
641,501
642,502
643,502
644,502
645,502
646,503
647,503
648,503
649,502
650,502
651,502
652,504
653,505
654,506
655,507
656,508
657,507
658,506
659,507
660,507
661,507
662,507
663,507
664,507
665,506
666,506
667,506
668,506
669,505
670,505
671,506
672,506
673,504
674,500
675,499
676,497
677,499
678,502
679,505
680,507
681,507
682,508
683,509
684,508
685,507
686,506
687,505
688,504
689,504
690,503
691,501
692,500
693,500
694,500
695,501
696,500
697,501
698,501
699,501
700,503
701,503
702,503
703,503
704,502
705,502
706,502
707,503
708,503
709,503
710,503
711,502
712,502
713,503
714,503
715,504
716,505
717,505
718,505
719,505
720,505
721,505
722,506
723,506
724,505
725,505
726,503
727,504
728,504
729,504
730,506
731,507
732,506
733,508
734,509
735,510
736,512
737,513
738,513
739,512
740,511
741,510
742,509
743,507
744,505
745,504
746,504
747,505
748,505
749,505
750,504
751,502
752,500
753,497
754,495
755,494
756,493
757,492
758,492
759,491
760,490
761,489
762,488
763,487
764,486
765,486
766,485
767,484
768,484
769,485
770,486
771,486
772,485
773,485
774,484
775,484
776,485
777,486
778,486
779,484
780,483
781,483
782,482
783,482
784,481
785,481
786,481
787,480
788,480
789,480
790,480
791,479
792,479
793,478
794,479
795,479
796,478
797,480
798,480
799,481
800,481
801,481
802,480
803,477
804,474
805,473
806,475
807,479
808,480
809,483
810,484
811,485
812,485
813,484
814,484
815,484
816,483
817,483
818,483
819,483
820,483
821,483
822,483
823,484
824,483
825,483
826,481
827,480
828,478
829,477
830,476
831,475
832,476
833,479
834,483
835,489
836,496
837,503
838,511
839,518
840,525
841,532
842,539
843,548
844,560
845,574
846,588
847,603
848,619
849,635
850,652
851,671
852,691
853,709
854,723
855,733
856,738
857,740
858,740
859,738
860,734
861,729
862,723
863,716
864,707
865,697
866,686
867,673
868,661
869,650
870,639
871,627
872,616
873,605
874,594
875,583
876,572
877,560
878,551
879,543
880,536
881,530
882,525
883,521
884,516
885,511
886,505
887,499
888,492
889,486
890,480
891,473
892,468
893,463
894,459
895,455
896,452
897,449
898,445
899,442
900,440
901,437
902,435
903,434
904,435
905,436
906,436
907,436
908,438
909,439
910,440
911,442
912,444
913,443
914,443
915,444
916,443
917,440
918,438
919,436
920,439
921,441
922,444
923,445
924,445
925,445
926,445
927,444
928,444
929,444
930,444
931,444
932,444
933,442
934,444
935,445
936,446
937,447
938,449
939,452
940,456
941,458
942,458
943,459
944,458
945,458
946,459
947,461
948,463
949,463
950,464
951,466
952,466
953,467
954,467
955,467
956,468
957,467
958,467
959,468
960,469
961,470
962,471
963,473
964,474
965,475
966,475
967,475
968,476
969,476
970,477
971,477
972,476
973,476
974,475
975,475
976,474
977,474
978,474
979,475
980,477
981,479
982,481
983,483
984,482
985,481
986,480
987,480
988,479
989,478
990,478
991,478
992,478
993,479
994,480
995,481
996,482
997,482
998,482
999,485
1000,486
1001,487
1002,488
1003,490
1004,491
1005,491
1006,491
1007,492
1008,492
1009,492
1010,492
1011,492
1012,492
1013,492
1014,492
1015,494
1016,493
1017,493
1018,493
1019,494
1020,493
1021,490
1022,486
1023,484
1024,487
1025,490
1026,493
1027,495
1028,496
1029,496
1030,496
1031,496
1032,496
1033,495
1034,494
1035,493
1036,491
1037,491
1038,490
1039,490
1040,491
1041,492
1042,492
1043,492
1044,492
1045,492
1046,493
1047,492
1048,493
1049,494
1050,495
1051,496
1052,494
1053,493
1054,492
1055,493
1056,493
1057,492
1058,493
1059,493
1060,493
1061,492
1062,494
1063,494
1064,494
1065,495
1066,497
1067,499
1068,499
1069,500
1070,503
1071,504
1072,504
1073,505
1074,504
1075,505
1076,505
1077,505
1078,505
1079,505
1080,504
1081,504
1082,507
1083,509
1084,510
1085,511
1086,512
1087,512
1088,512
1089,512
1090,513
1091,513
1092,513
1093,513
1094,515
1095,516
1096,516
1097,515
1098,516
1099,518
1100,519
1101,519
1102,518
1103,518
1104,519
1105,522
1106,524
1107,526
1108,527
1109,527
1110,528
1111,530
1112,531
1113,531
1114,532
1115,532
1116,534
1117,536
1118,536
1119,535
1120,535
1121,534
1122,530
1123,526
1124,526
1125,529
1126,534
1127,536
1128,537
1129,538
1130,538
1131,537
1132,535
1133,535
1134,534
1135,534
1136,535
1137,535
1138,535
1139,534
1140,534
1141,534
1142,534
1143,534
1144,535
1145,536
1146,536
1147,536
1148,536
1149,536
1150,537
1151,538
1152,537
1153,537
1154,537
1155,537
1156,539
1157,539
1158,538
1159,537
1160,536
1161,535
1162,535
1163,534
1164,533
1165,532
1166,532
1167,534
1168,534
1169,533
1170,534
1171,535
1172,536
1173,539
1174,541
1175,541
1176,540
1177,539
1178,539
1179,538
1180,537
1181,536
1182,535
1183,534
1184,534
1185,535
1186,536
1187,536
1188,535
1189,536
1190,538
1191,539
1192,539
1193,540
1194,541
1195,541
1196,541
1197,539
1198,536
1199,532
1200,529
1201,531
1202,533
1203,536
1204,537
1205,537
1206,536
1207,537
1208,536
1209,536
1210,537
1211,538
1212,538
1213,537
1214,538
1215,539
1216,539
1217,540
1218,539
1219,539
1220,539
1221,539
1222,538
1223,538
1224,537
1225,537
1226,534
1227,534
1228,534
1229,534
1230,534
1231,534
1232,535
1233,535
1234,537
1235,538
1236,538
1237,538
1238,536
1239,536
1240,536
1241,536
1242,534
1243,535
1244,535
1245,535
1246,535
1247,535
1248,535
1249,535
1250,536
1251,536
1252,537
1253,539
1254,539
1255,538
1256,539
1257,540
1258,539
1259,538
1260,538
1261,538
1262,537
1263,537
1264,538
1265,539
1266,539
1267,537
1268,536
1269,536
1270,535
1271,535
1272,537
1273,539
1274,540
1275,539
1276,536
1277,533
1278,531
1279,529
1280,528
1281,528
1282,527
1283,527
1284,527
1285,527
