time,ecg
1,494
2,494
3,493
4,492
5,494
6,496
7,497
8,499
9,499
10,499
11,499
12,500
13,501
14,501
15,501
16,502
17,503
18,504
19,505
20,504
21,504
22,504
23,504
24,505
25,506
26,506
27,507
28,507
29,509
30,509
31,508
32,507
33,505
34,504
35,503
36,500
37,499
38,499
39,498
40,499
41,500
42,500
43,502
44,502
45,503
46,503
47,503
48,503
49,503
50,504
51,504
52,505
53,506
54,507
55,507
56,507
57,506
58,506
59,506
60,507
61,508
62,509
63,510
64,511
65,511
66,511
67,512
68,511
69,509
70,509
71,507
72,504
73,502
74,500
75,499
76,499
77,500
78,500
79,502
80,503
81,503
82,503
83,504
84,504
85,505
86,505
87,505
88,505
89,505
90,505
91,504
92,505
93,506
94,506
95,507
96,508
97,509
98,509
99,510
100,511
101,512
102,514
103,515
104,516
105,518
106,519
107,521
108,523
109,524
110,524
111,524
112,524
113,524
114,524
115,522
116,519
117,516
118,515
119,512
120,510
121,509
122,510
123,510
124,509
125,510
126,510
127,510
128,511
129,511
130,511
131,509
132,508
133,506
134,506
135,506
136,506
137,507
138,507
139,507
140,506
141,506
142,505
143,503
144,502
145,502
146,503
147,504
148,504
149,506
150,507
151,509
152,510
153,510
154,511
155,511
156,511
157,512
158,513
159,513
160,512
161,511
162,510
163,510
164,511
165,510
166,511
167,511
168,510
169,510
170,510
171,510
172,509
173,510
174,510
175,509
176,509
177,509
178,510
179,511
180,510
181,508
182,508
183,509
184,510
185,511
186,511
187,511
188,511
189,511
190,512
191,512
192,512
193,511
194,510
195,509
196,508
197,509
198,509
199,509
200,508
201,507
202,506
203,505
204,505
205,504
206,503
207,500
208,499
209,499
210,501
211,502
212,502
213,502
214,501
215,502
216,503
217,504
218,504
219,504
220,504
221,504
222,505
223,505
224,507
225,506
226,506
227,506
228,506
229,507
230,509
231,511
232,511
233,511
234,511
235,512
236,511
237,511
238,511
239,512
240,512
241,514
242,515
243,514
244,514
245,516
246,517
247,516
248,516
249,515
250,514
251,513
252,513
253,512
254,512
255,511
256,510
257,510
258,510
259,509
260,509
261,509
262,509
263,510
264,512
265,512
266,512
267,513
268,513
269,513
270,513
271,512
272,512
273,512
274,510
275,508
276,507
277,505
278,504
279,502
280,502
281,502
282,502
283,503
284,504
285,504
286,504
287,505
288,507
289,507
290,507
291,506
292,506
293,506
294,508
295,509
296,510
297,510
298,509
299,509
300,509
301,511
302,512
303,512
304,512
305,513
306,513
307,514
308,513
309,512
310,511
311,511
312,512
313,513
314,513
315,513
316,513
317,513
318,512
319,512
320,511
321,510
322,509
323,508
324,509
325,510
326,510
327,511
328,512
329,512
330,511
331,511
332,510
333,510
334,510
335,511
336,512
337,512
338,512
339,512
340,511
341,512
342,513
343,514
344,515
345,516
346,518
347,518
348,519
349,518
350,518
351,518
352,517
353,516
354,514
355,512
356,512
357,512
358,512
359,512
360,512
361,512
362,513
363,514
364,514
365,515
366,515
367,515
368,516
369,515
370,516
371,517
372,519
373,520
374,521
375,521
376,521
377,519
