440	457	482	698	681	724	860	767	987	1013	1033	526	487	786	414	529
1376	1404	1420	1501	1491	1529	1661	1579	1795	1802	1818	519	496	790	404	507
2168	2190	2201	2296	2280	2323	2398	2369	2658	2675	2698	523	503	829	407	523
2971	2987	3014	3094	3082	3122	3185	3159	3431	3447	3456	522	496	838	395	521
3753	3776	3800	3752	3847	3911	4056	3958	4189	4215	4251	523	496	812	415	512
4604	4629	4651	4732	4719	4764	4915	4810	5011	5072	5077	537	505	789	409	527
5382	5395	5418	5467	5603	5644	5794	5689	5909	5929	5947	513	498	807	405	513
6313	6333	6345	6439	6422	6467	nan	6511	nan	nan	nan	526	505	819	403	519
7149	7191	7204	nan	7271	7314	7461	7356	7614	7623	7654	519	513	816	397	524
8042	8089	8109	8177	8164	8205	8331	8247	8501	8516	8535	529	513	799	408	514
8993	9013	9042	9077	9095	9136	9265	9181	9405	9427	9446	525	495	804	411	513
9859	9898	9913	nan	9973	10015	10105	10065	10374	10387	10398	522	492	845	411	526
10711	10747	10771	10846	10828	10876	11019	10919	11152	11185	11194	522	505	808	395	520
11607	11627	11637	nan	11725	11765	11889	11809	12015	12064	12084	519	498	804	411	515
12345	12358	12375	12606	12590	12639	12788	12684	12851	12886	12931	511	502	809	407	515
13155	13164	13182	13322	13434	13476	13555	13519	13789	13818	13838	528	508	839	404	523
14203	14236	14257	14338	14321	14367	14485	14410	14664	14686	14694	522	475	817	399	523
15226	15251	15275	nan	15336	15388	15516	15433	15621	15712	15734	525	479	813	407	516
16154	16179	16210	16233	16276	16313	nan	16358	nan	nan	nan	520	513	837	401	544
17021	17053	17074	nan	17142	17182	17310	17230	17491	17498	17518	519	493	833	400	519
17918	17944	18011	18050	18038	18078	18161	18119	18369	18393	18407	531	501	817	406	505
18655	18659	18675	18798	18937	18981	19079	19023	19222	19240	19249	510	507	828	425	516
19567	19577	19596	19728	19845	19884	19939	19925	20121	20134	20147	513	499	807	390	508
20409	20427	20445	20685	20671	20715	20815	20759	21027	21041	21061	558	504	795	400	524
21405	21430	21463	21532	21436	21564	21658	21610	21877	21896	21915	549	499	788	403	521
22045	22062	22082	22341	22332	22373	nan	22414	nan	nan	nan	519	500	809	395	510
23063	23075	23089	nan	23129	23172	23301	23216	23469	23486	23512	521	498	835	415	527
23838	23867	23891	23970	23953	23999	24157	24041	24314	24333	24354	526	495	805	409	516
24710	24735	24752	24833	24821	24863	24991	24905	25214	25230	25254	524	498	799	404	525
25544	25564	25573	25679	25666	25709	25832	25752	26025	26036	26053	519	476	835	401	508
26319	26335	26385	26545	26529	26573	26710	26621	26831	26866	26879	521	451	811	403	647
27353	27376	27406	27477	27466	27509	27646	27552	27745	27818	27828	522	515	788	406	556
28326	28351	28401	28455	28442	28483	nan	28530	nan	nan	nan	519	484	798	403	550
29260	29300	29345	nan	29383	29423	nan	29465	nan	nan	nan	516	527	817	409	516
30238	30268	30292	30370	30357	30400	nan	30442	nan	nan	nan	520	367	780	402	528
31216	31241	31307	31310	31327	31371	31524	31418	31724	31731	31750	516	511	801	408	546
31942	31961	31984	32195	32223	32267	32339	32317	32577	32596	32610	551	488	780	390	525
32854	32864	32880	33059	33036	33098	33176	33136	33256	33279	33305	529	509	703	346	515
33750	33764	33777	33778	33817	33868	33905	33925	34210	34218	34232	543	526	794	367	515
34401	34419	34434	34588	34575	34615	34681	34665	34959	34966	34995	566	504	759	388	529
35245	35252	35261	35320	35308	35348	35409	35398	35703	35729	35760	560	499	819	426	541
35933	35960	35975	36038	36024	36059	36111	36092	36346	36360	36378	521	500	808	350	509
36451	36483	36573	36603	36737	36781	36835	36819	37089	37104	37109	543	507	828	412	525
37232	37251	37268	37484	37471	37513	37571	37550	37794	37800	37815	513	500	806	442	534
38153	38163	38175	38231	38218	38260	38306	38315	38555	38569	38591	529	504	809	419	533
38812	38889	38899	38923	38953	38990	39047	39035	39347	39354	39380	547	497	856	401	529
39490	39501	39514	39665	39675	39712	39763	39754	40026	40040	40059	531	507	812	388	516
40266	40300	40327	40363	40389	40427	40469	40478	40709	40733	40763	528	496	786	419	529
40842	40852	40857	41127	41117	41158	41218	41206	41486	41501	41519	523	499	791	409	524
41728	41755	41771	41855	41846	41887	41961	41949	42168	42184	42197	536	502	838	396	528
42308	42319	42330	42602	42590	42629	42712	42673	42967	42979	42993	529	501	820	400	525
43050	43062	43079	43286	43331	43369	43434	43418	43677	43696	43707	536	496	784	417	532
43901	43923	43959	44094	44082	44134	44211	44180	44497	44515	44529	521	506	799	408	527
44727	44766	44797	44799	44843	44883	44936	44924	45180	45197	45206	523	505	822	412	522
45484	45504	45529	45600	45590	45637	nan	45682	nan	nan	nan	525	501	791	403	525
46250	46276	46293	46341	46363	46401	46486	46457	46674	46704	46716	525	504	782	413	519
46857	46869	46882	47123	47134	47169	nan	47219	nan	nan	nan	520	503	801	399	519
47660	47667	47681	47914	47897	47947	47999	47987	48249	48259	48273	524	503	798	403	528
48601	48622	48655	48722	48710	48749	48850	48801	49049	49054	49078	518	505	770	415	519
49398	49425	49458	49517	49506	49546	49603	49591	49854	49869	49875	525	516	795	406	528
50178	50202	50215	50302	50282	50332	50444	50375	50682	50702	50719	530	497	799	404	511
50959	50990	51022	51049	51068	51111	51198	51152	51419	51434	51455	524	508	795	412	523
51755	51787	51807	51877	51866	51909	52029	51965	52210	52234	52254	526	506	774	418	525
52548	52575	52631	52630	52657	52700	52769	52741	53063	53075	53086	523	502	789	414	525
53333	53356	53374	53316	53444	53482	53572	53522	53833	53847	53866	526	497	816	412	483
