time,ecg
1,510
2,510
3,510
4,511
5,511
6,510
7,511
8,511
9,512
10,513
11,513
12,513
13,513
14,514
15,515
16,516
17,517
18,518
19,519
20,519
21,519
22,519
23,518
24,516
25,514
26,512
27,511
28,511
29,510
30,509
31,510
32,511
33,512
34,513
35,514
36,515
37,517
38,517
39,518
40,518
41,519
42,519
43,520
44,520
45,520
46,519
47,518
48,516
49,516
50,515
51,515
52,515
53,515
54,515
55,515
56,516
57,515
58,515
59,515
60,514
61,515
62,514
63,514
64,515
65,515
66,516
67,517
68,517
69,518
70,519
71,519
72,519
73,519
74,518
75,517
76,516
77,515
78,514
79,513
80,513
81,513
82,512
83,512
84,511
85,511
86,512
87,513
88,513
89,513
90,513
91,513
92,512
93,513
94,513
95,513
96,513
97,513
98,514
99,513
100,513
101,512
102,512
103,512
104,511
105,512
106,512
107,512
108,512
109,513
110,514
111,515
112,516
113,516
114,516
115,517
116,516
117,515
118,514
119,513
120,512
121,511
122,512
123,512
124,513
125,514
126,515
127,516
128,517
129,517
130,518
131,517
132,517
133,517
134,516
135,517
136,516
137,515
138,514
139,514
140,513
141,514
142,513
143,512
144,512
145,511
146,510
147,509
148,507
149,505
150,504
151,504
152,505
153,505
154,505
155,506
156,507
157,507
158,508
159,509
160,510
161,509
162,509
163,508
164,508
165,508
166,507
167,507
168,507
169,508
170,508
171,509
172,511
173,512
174,512
175,513
176,513
177,514
178,515
179,515
180,515
181,515
182,515
183,514
184,515
185,515
186,515
187,515
188,514
189,514
190,514
191,513
192,513
193,513
194,513
195,513
196,512
197,512
198,512
199,511
200,510
201,509
202,510
203,511
204,511
205,511
206,512
207,512
208,515
209,516
210,518
211,519
212,520
213,520
214,521
215,522
216,522
217,523
218,522
219,522
220,522
221,522
222,521
223,520
224,520
225,519
226,519
227,519
228,518
229,519
230,518
231,519
232,519
233,518
234,518
235,517
236,516
237,514
238,513
239,512
240,510
241,509
242,508
243,508
244,507
245,507
246,507
247,508
248,509
249,509
250,511
251,512
252,512
253,513
254,514
255,514
256,515
257,515
258,515
259,515
260,515
261,516
262,517
263,518
264,519
265,519
266,518
267,517
268,516
269,516
270,515
271,515
272,514
273,513
274,513
275,514
276,514
277,514
278,515
279,515
280,515
281,515
282,515
283,515
284,515
285,515
286,516
287,516
288,516
289,517
290,516
291,516
292,515
293,515
294,514
295,513
296,512
297,511
298,509
299,509
300,508
301,507
302,506
303,505
304,504
305,504
306,504
307,504
308,504
309,504
310,505
311,506
312,507
313,508
314,507
315,507
316,507
317,506
318,506
319,505
320,503
321,502
322,500
323,500
324,499
325,497
326,496
327,496
328,496
329,496
330,496
331,496
332,496
333,498
334,503
335,512
336,520
337,530
338,539
339,550
340,561
341,572
342,583
343,596
344,608
345,619
346,631
347,642
348,652
349,658
350,664
351,667
352,668
353,667
354,666
355,665
356,661
357,654
358,647
359,639
360,634
361,629
362,626
363,623
364,619
365,616
366,613
367,610
368,606
369,601
370,596
371,590
372,583
373,575
374,568
375,561
376,555
377,550
378,544
379,539
380,534
381,529
382,525
383,521
384,518
385,515
386,512
387,509
388,506
389,503
390,500
391,495
392,490
393,485
394,479
395,475
396,470
397,466
398,464
399,462
400,461
401,461
402,460
403,461
404,463
405,463
406,463
407,465
408,464
409,464
410,465
411,465
412,466
413,466
414,467
415,467
416,467
417,468
418,468
419,468
420,468
421,467
422,465
423,464
424,464
425,463
426,461
427,460
428,460
429,459
430,458
431,458
432,458
433,458
434,460
435,463
436,465
437,467
438,469
439,471
440,473
441,475
442,476
443,476
444,477
445,478
446,478
447,477
448,476
449,476
450,475
451,474
452,474
453,474
454,473
455,472
456,472
457,472
458,472
459,472
460,474
461,475
462,476
463,477
464,478
465,479
466,479
467,479
468,480
469,480
470,481
471,482
472,481
473,481
474,481
475,481
476,481
477,481
478,481
479,482
480,482
481,482
482,482
483,480
484,480
485,479
486,479
487,478
488,478
489,479
490,480
491,481
492,482
493,483
494,484
495,484
496,484
497,484
498,484
499,485
500,485
501,485
502,486
503,486
504,487
505,488
506,490
507,492
508,494
509,495
510,496
511,496
512,497
513,496
514,495
515,495
516,494
517,493
518,492
519,492
520,492
521,492
522,492
523,492
524,491
525,491
526,491
527,491
528,491
529,491
530,491
531,491
532,491
533,491
534,491
535,492
536,492
537,492
538,492
539,492
540,492
541,492
542,492
543,493
544,495
545,496
546,497
547,496
548,495
549,494
550,493
551,493
552,492
553,492
554,492
555,494
556,495
557,496
558,497
559,497
560,498
561,499
562,500
563,501
564,502
565,503
566,503
567,504
568,504
569,504
570,504
571,504
572,504
573,504
574,504
575,504
576,503
577,502
578,502
579,502
580,502
581,503
582,503
583,504
584,505
585,505
586,505
587,504
588,503
589,502
590,501
591,500
592,499
593,499
594,499
595,499
596,501
597,502
598,504
599,506
600,508
601,510
602,511
603,513
604,515
605,516
606,518
607,519
608,519
609,519
610,519
611,520
612,521
613,522
614,522
615,521
616,520
617,519
618,519
619,519
620,519
621,519
622,519
623,520
624,521
625,523
626,524
627,524
628,525
629,525
630,524
631,523
632,522
633,522
634,520
635,519
636,518
637,517
638,516
639,517
640,518
641,517
642,518
643,519
644,520
645,521
646,521
647,522
648,521
649,521
650,521
651,521
652,520
653,519
654,519
655,519
656,518
657,518
658,517
659,517
660,517
661,516
662,515
663,515
664,515
665,515
666,515
667,514
668,512
669,512
670,511
671,510
672,509
673,508
674,508
675,509
676,510
677,511
678,512
679,514
680,515
681,516
682,519
683,520
684,521
685,521
686,521
687,521
688,520
689,519
690,519
691,519
692,518
693,517
694,516
695,515
696,514
697,512
698,509
699,507
700,506
701,505
702,505
703,506
704,507
705,510
706,511
707,513
708,516
709,517
710,518
711,518
712,518
713,517
714,516
715,515
716,514
717,512
718,511
719,509
720,509
721,509
722,509
723,509
724,511
725,511
726,512
727,512
728,512
729,512
730,512
731,512
732,512
733,512
734,512
735,512
736,513
737,514
738,515
739,516
740,517
741,518
742,518
743,518
744,519
745,519
746,517
747,516
748,515
749,515
750,515
751,515
752,515
753,515
754,514
755,514
756,513
757,513
758,513
759,512
760,512
761,512
762,513
763,513
764,513
765,513
766,513
767,514
768,515
769,515
770,515
771,515
772,514
773,514
774,514
775,513
776,512
777,511
778,510
779,509
780,509
781,510
782,511
783,511
784,511
785,512
786,513
787,514
788,515
789,516
790,516
791,516
792,517
793,517
794,517
795,517
796,517
797,517
798,517
799,517
800,517
801,517
802,517
803,516
804,515
805,514
806,513
807,512
808,512
809,512
810,511
811,511
812,510
813,510
814,510
815,510
816,511
817,510
818,510
819,510
820,511
821,512
822,512
823,512
824,513
825,513
826,513
827,514
828,514
829,514
830,514
831,513
832,511
833,511
834,511
835,511
836,511
837,511
838,511
839,511
840,510
841,510
842,512
843,512
844,513
845,514
846,514
847,514
848,515
849,514
850,514
851,513
852,514
853,513
854,513
855,512
856,512
857,512
858,513
859,513
860,512
861,512
862,512
863,512
864,511
865,511
866,511
867,512
868,512
869,511
870,512
871,512
872,513
873,513
874,513
875,513
876,512
877,512
878,511
879,511
880,512
881,512
882,512
883,512
884,511
885,510
886,508
887,508
888,508
889,509
890,510
891,512
892,513
893,515
894,516
895,518
896,518
897,519
898,519
899,519
900,519
901,518
902,516
903,515
904,514
905,513
906,513
907,513
908,512
909,511
910,511
911,510
912,509
913,508
914,509
915,509
916,509
917,508
918,509
919,508
920,509
921,510
922,510
923,510
924,510
925,510
926,510
927,510
928,510
929,510
930,510
931,510
932,511
933,511
934,512
935,512
936,512
937,512
938,512
939,512
940,511
941,510
942,511
943,510
944,509
945,508
946,508
947,507
948,507
949,507
950,507
951,507
952,506
953,505
954,504
955,503
956,502
957,502
958,502
959,502
960,504
961,505
962,507
963,509
964,510
965,512
966,513
967,513
968,512
969,511
970,510
971,511
972,512
973,513
974,515
975,516
976,518
977,520
978,522
979,523
980,523
981,523
982,522
983,521
984,521
985,521
986,520
987,520
988,519
989,519
990,519
991,519
992,519
993,519
994,519
995,519
996,519
997,519
998,519
999,517
1000,515
1001,512
1002,511
1003,509
1004,507
1005,506
1006,504
1007,504
1008,504
1009,505
1010,506
1011,507
1012,509
1013,510
1014,511
1015,511
1016,512
1017,512
1018,513
1019,513
1020,514
1021,513
1022,514
1023,513
1024,513
1025,513
1026,512
1027,511
1028,510
1029,509
1030,509
1031,508
1032,508
1033,507
1034,506
1035,506
1036,506
1037,506
1038,506
1039,507
1040,507
1041,507
1042,508
1043,509
1044,508
1045,508
1046,508
1047,508
1048,508
1049,508
1050,508
1051,508
1052,508
1053,508
1054,508
1055,508
1056,508
1057,507
1058,506
1059,505
1060,504
1061,504
1062,504
1063,505
1064,506
1065,509
1066,511
1067,513
1068,515
1069,515
1070,517
1071,516
1072,516
1073,515
1074,513
1075,512
1076,511
1077,511
1078,511
1079,510
1080,510
1081,510
1082,509
1083,508
1084,506
1085,504
1086,501
1087,498
1088,495
1089,492
1090,489
1091,487
1092,483
1093,481
1094,479
1095,478
1096,476
1097,476
1098,475
1099,476
1100,477
1101,478
1102,479
1103,483
1104,488
1105,497
1106,509
1107,522
1108,537
1109,553
1110,572
1111,592
1112,612
1113,633
1114,654
1115,673
1116,693
1117,711
1118,729
1119,745
1120,757
1121,765
1122,770
1123,771
1124,770
1125,768
1126,764
1127,758
1128,749
1129,738
1130,726
1131,714
1132,703
1133,691
1134,680
1135,671
1136,660
1137,649
1138,638
1139,627
1140,616
1141,606
1142,596
1143,585
1144,574
1145,564
1146,556
1147,547
1148,540
1149,534
1150,527
1151,520
1152,513
1153,505
1154,498
1155,491
1156,486
1157,481
1158,477
1159,473
1160,469
1161,464
1162,461
1163,457
1164,453
1165,450
1166,447
1167,444
1168,441
1169,440
1170,437
1171,436
1172,435
1173,433
1174,433
1175,432
1176,432
1177,431
1178,430
1179,429
1180,429
1181,429
1182,430
1183,431
1184,432
1185,433
1186,435
1187,436
1188,438
1189,439
1190,440
1191,440
1192,441
1193,441
1194,442
1195,441
1196,441
1197,440
1198,440
1199,439
1200,439
1201,438
1202,438
1203,438
1204,439
1205,440
1206,441
1207,442
1208,443
1209,444
1210,445
1211,445
1212,446
1213,447
1214,447
1215,447
1216,447
1217,447
1218,448
1219,448
1220,448
1221,449
1222,449
1223,448
1224,449
1225,449
1226,450
1227,451
1228,452
1229,453
1230,455
1231,456
1232,458
1233,460
1234,460
1235,459
1236,458
1237,458
1238,459
1239,460
1240,461
1241,463
1242,464
1243,466
1244,467
1245,467
1246,467
1247,468
1248,469
1249,470
1250,470
1251,469
1252,468
1253,469
1254,468
1255,467
1256,467
1257,466
1258,467
1259,466
1260,466
1261,465
1262,466
1263,467
1264,468
1265,469
1266,469
1267,470
1268,471
1269,471
1270,472
1271,471
1272,471
1273,470
1274,470
1275,470
1276,469
1277,469
1278,469
1279,469
1280,470
1281,471
1282,472
1283,472
1284,473
1285,475
1286,475
1287,476
1288,476
1289,478
1290,479
1291,480
1292,480
1293,481
1294,481
1295,481
1296,480
1297,479
1298,478
1299,477
1300,477
1301,477
1302,478
1303,479
1304,479
1305,479
1306,479
1307,480
1308,481
1309,481
1310,482
1311,482
1312,482
1313,481
1314,481
1315,481
1316,480
1317,481
1318,482
1319,483
1320,483
1321,483
1322,482
1323,480
1324,479
1325,477
1326,477
1327,476
1328,476
1329,477
1330,479
1331,481
1332,483
1333,483
1334,483
1335,483
1336,484
1337,486
1338,486
1339,486
1340,487
1341,486
1342,486
1343,486
1344,487
1345,487
1346,488
1347,489
1348,489
1349,490
1350,490
1351,491
1352,492
1353,494
1354,494
1355,494
1356,493
1357,493
1358,494
1359,493
1360,493
1361,493
1362,494
1363,495
1364,496
1365,497
1366,499
1367,501
1368,503
1369,504
1370,505
1371,506
1372,506
1373,507
1374,507
1375,507
1376,507
1377,507
1378,506
1379,506
1380,507
1381,508
1382,508
1383,510
1384,511
1385,512
1386,512
1387,513
1388,514
1389,514
1390,515
1391,516
1392,517
1393,518
1394,519
1395,521
1396,523
1397,525
1398,527
1399,529
1400,531
1401,531
1402,531
1403,532
1404,532
1405,532
1406,532
1407,532
1408,532
1409,532
1410,532
1411,532
1412,532
1413,531
1414,531
1415,531
1416,529
1417,527
1418,527
1419,526
1420,527
1421,527
1422,529
1423,530
1424,531
1425,533
1426,533
1427,534
1428,534
1429,535
1430,536
1431,535
1432,536
1433,536
1434,535
1435,536
1436,536
1437,537
1438,538
1439,539
1440,540
1441,540
1442,540
1443,541
1444,540
1445,539
1446,539
1447,538
1448,537
1449,537
1450,537
1451,536
1452,536
1453,535
1454,534
1455,533
1456,532
1457,531
1458,531
1459,531
1460,532
1461,532
1462,533
1463,534
1464,534
1465,534
1466,534
1467,535
1468,535
1469,535
1470,535
1471,535
1472,536
1473,536
1474,535
1475,535
1476,535
1477,534
1478,534
1479,532
1480,531
1481,530
1482,528
1483,527
1484,526
1485,526
1486,525
1487,525
1488,524
1489,525
1490,525
1491,526
1492,527
1493,528
1494,528
1495,528
1496,528
1497,528
1498,527
1499,526
1500,525
1501,524
1502,524
1503,524
1504,524
1505,525
1506,524
1507,525
1508,524
1509,524
1510,523
1511,523
1512,524
1513,524
1514,525
1515,525
1516,525
1517,526
1518,526
1519,525
1520,525
1521,526
1522,526
1523,526
1524,527
1525,527
1526,527
1527,527
1528,527
1529,527
1530,527
1531,526
1532,525
1533,524
1534,523
1535,523
1536,523
1537,523
1538,523
1539,524
1540,524
1541,523
1542,524
1543,523
1544,524
1545,524
1546,523
1547,523
1548,522
1549,521
1550,521
1551,520
1552,519
1553,519
1554,519
1555,518
1556,517
1557,516
1558,516
1559,516
1560,517
1561,517
1562,518
1563,518
1564,519
1565,520
1566,521
1567,521
1568,521
1569,520
1570,520
1571,519
1572,518
1573,517
1574,516
1575,515
1576,515
1577,515
1578,515
1579,516
1580,517
1581,517
1582,517
1583,518
1584,519
1585,519
1586,519
1587,519
1588,518
1589,517
1590,517
1591,516
1592,516
1593,515
1594,515
1595,514
1596,515
1597,515
1598,515
1599,516
1600,516
1601,516
1602,517
1603,518
1604,518
1605,519
1606,520
1607,520
1608,519
1609,517
1610,516
1611,515
1612,516
1613,515
1614,515
1615,515
1616,516
1617,516
1618,516
1619,517
1620,518
1621,518
1622,518
1623,518
1624,518
1625,519
1626,519
1627,519
1628,519
1629,519
1630,520
1631,519
1632,519
1633,519
1634,518
1635,518
1636,517
1637,516
1638,515
1639,513
1640,512
1641,510
1642,509
1643,509
1644,507
1645,507
1646,507
1647,508
1648,509
1649,511
1650,512
1651,513
1652,513
1653,514
1654,514
1655,514
1656,515
1657,514
1658,514
1659,514
1660,514
1661,514
1662,514
1663,515
1664,515
1665,515
1666,515
1667,515
1668,514
1669,513
1670,514
1671,514
1672,513
1673,514
1674,514
1675,514
1676,515
1677,515
1678,514
1679,514
1680,513
1681,513
1682,513
1683,513
1684,514
1685,515
1686,515
1687,515
1688,515
1689,515
1690,515
1691,514
1692,512
1693,510
1694,508
1695,505
1696,504
1697,504
1698,504
1699,505
1700,507
1701,509
1702,509
1703,510
1704,511
1705,511
1706,512
1707,512
1708,513
1709,513
1710,514
1711,515
1712,516
1713,517
1714,516
1715,517
1716,516
1717,516
1718,515
1719,513
1720,512
1721,511
1722,510
1723,509
1724,508
1725,506
1726,505
1727,504
1728,504
1729,504
1730,504
1731,505
1732,507
1733,508
1734,508
1735,509
1736,509
1737,509
1738,509
1739,508
1740,509
1741,510
1742,510
1743,510
1744,510
1745,511
1746,510
1747,510
1748,510
1749,509
1750,508
1751,506
1752,504
1753,503
1754,503
1755,503
1756,504
1757,505
1758,506
1759,508
1760,510
1761,512
1762,513
1763,514
1764,514
1765,514
1766,514
1767,514
1768,514
1769,514
1770,513
1771,514
1772,514
1773,515
1774,515
1775,515
1776,515
1777,513
1778,511
1779,509
1780,508
1781,508
1782,508
1783,508
1784,509
1785,511
1786,511
1787,512
1788,512
1789,513
1790,515
1791,516
1792,516
1793,516
1794,516
1795,516
1796,515
1797,515
1798,514
1799,513
1800,513
1801,514
1802,514
1803,514
1804,514
1805,513
1806,513
1807,513
1808,513
1809,513
1810,512
1811,512
1812,511
1813,510
1814,509
1815,509
1816,509
1817,508
1818,507
1819,508
1820,508
1821,508
1822,507
1823,507
1824,507
1825,507
1826,508
1827,508
1828,508
1829,508
1830,508
1831,509
1832,509
1833,509
1834,509
1835,510
1836,510
1837,511
1838,510
1839,509
1840,509
1841,508
1842,508
1843,508
1844,508
1845,508
1846,507
1847,505
1848,504
1849,503
1850,504
1851,504
1852,504
1853,505
1854,504
1855,505
1856,504
1857,503
1858,503
1859,503
1860,504
1861,504
1862,505
1863,507
1864,508
1865,509
1866,509
1867,509
1868,508
1869,507
1870,504
1871,501
1872,497
1873,495
1874,492
1875,491
1876,488
1877,485
1878,481
1879,479
1880,476
1881,473
1882,471
1883,469
1884,468
1885,467
1886,466
1887,467
1888,472
1889,479
1890,490
1891,504
1892,519
1893,539
1894,560
1895,583
1896,608
1897,632
1898,658
1899,682
1900,705
1901,727
1902,747
1903,766
1904,783
1905,798
1906,807
1907,813
1908,817
1909,816
1910,815
1911,813
1912,808
1913,800
1914,790
1915,777
1916,762
1917,747
1918,732
1919,718
1920,704
1921,688
1922,672
1923,656
1924,641
1925,627
1926,612
1927,598
1928,585
1929,572
1930,561
1931,550
1932,539
1933,529
1934,519
1935,510
1936,502
1937,495
1938,487
1939,480
1940,475
1941,469
1942,464
1943,459
1944,454
1945,449
1946,444
1947,439
1948,435
1949,431
1950,427
1951,423
1952,421
1953,418
1954,417
1955,416
1956,415
1957,415
1958,415
1959,414
1960,413
1961,412
1962,410
1963,408
1964,405
1965,403
1966,402
1967,402
1968,403
1969,404
1970,407
1971,410
1972,413
1973,416
1974,417
1975,420
1976,423
1977,425
1978,427
1979,428
1980,430
1981,431
1982,432
1983,433
1984,433
1985,434
1986,434
1987,435
1988,435
1989,435
1990,436
1991,436
1992,436
1993,436
1994,435
1995,435
1996,435
1997,434
1998,434
1999,433
2000,433
2001,433
2002,433
2003,433
2004,433
2005,433
2006,435
2007,436
2008,437
2009,438
2010,439
2011,440
2012,441
2013,442
2014,444
2015,445
2016,446
2017,447
2018,448
2019,447
2020,446
2021,445
2022,445
2023,444
2024,444
2025,444
2026,444
2027,444
2028,444
2029,446
2030,447
2031,449
2032,451
2033,453
2034,455
2035,457
2036,459
2037,460
2038,460
2039,461
2040,461
2041,462
2042,462
2043,462
2044,463
2045,463
2046,462
2047,462
2048,462
2049,461
2050,461
2051,460
2052,459
2053,459
2054,458
2055,460
2056,461
2057,462
2058,463
2059,463
2060,463
2061,463
2062,462
2063,463
2064,462
2065,463
2066,463
2067,464
2068,464
2069,466
2070,468
2071,470
2072,472
2073,475
2074,477
2075,479
2076,480
2077,480
2078,480
2079,481
2080,481
2081,480
2082,480
2083,480
2084,479
2085,479
2086,478
2087,479
2088,478
2089,478
2090,478
2091,477
2092,477
2093,476
2094,476
2095,477
2096,477
2097,477
2098,477
2099,477
2100,477
2101,476
2102,476
2103,476
2104,475
2105,475
2106,475
2107,475
2108,475
2109,475
2110,476
2111,476
2112,475
2113,476
2114,476
2115,476
2116,476
2117,477
2118,478
2119,478
2120,479
2121,480
2122,481
2123,482
2124,482
2125,483
2126,484
2127,485
2128,484
2129,485
2130,484
2131,485
2132,485
2133,484
2134,484
2135,485
2136,485
2137,484
2138,483
2139,482
2140,482
2141,483
2142,486
2143,487
2144,489
2145,492
2146,494
2147,495
2148,496
2149,497
2150,497
2151,497
2152,498
2153,498
2154,497
2155,497
2156,497
2157,497
2158,497
2159,497
2160,497
2161,498
2162,499
2163,499
2164,501
2165,503
2166,504
2167,505
2168,506
2169,508
2170,509
2171,510
2172,512
2173,512
2174,513
2175,514
2176,515
2177,516
2178,516
2179,517
2180,518
2181,519
2182,520
2183,522
2184,523
2185,525
2186,527
2187,528
2188,530
2189,531
2190,533
2191,535
2192,536
2193,537
