704	733	774	897	874	931	1070	983	1401	1434	1547	513	479	1012	375	528
1936	1967	2000	2136	2112	2171	2315	2224	2380	2456	2526	516	484	1001	386	529
2942	2959	3000	3312	3287	3344	3489	3399	3555	3624	3686	522	458	984	368	511
4337	4373	4419	4540	4517	4574	4703	4627	5010	5095	5157	520	480	1022	373	532
5602	5632	5678	5805	5780	5839	5983	5892	6044	6134	6196	520	487	1010	383	524
6581	6611	6647	7021	6994	7053	7220	7105	7250	7347	7402	515	459	1021	352	516
8045	8079	8134	8251	8227	8285	8430	8335	8721	8803	8877	524	484	1022	371	529
9321	9354	9404	9522	9499	9556	9688	9606	9758	9865	9909	518	476	1000	379	532
10521	10560	10615	10729	10703	10761	10915	10813	10961	11061	11111	518	467	1019	353	507
11764	11800	11846	11964	11938	11996	12140	12047	12467	12517	12565	520	475	1008	366	531
12840	12882	12927	13266	13242	13300	nan	13352	nan	nan	nan	514	475	988	383	507
14053	14070	14124	14492	14467	14525	14668	14577	14581	14822	14872	518	464	1022	358	535
15487	15526	15576	15688	15665	15722	nan	15775	nan	nan	nan	519	476	1016	371	517
16728	16760	16822	16930	16906	16963	17104	17017	17259	17280	17311	518	476	983	383	532
17700	17716	17740	18133	18109	18166	18309	18218	18361	18441	18542	519	464	1022	363	532
19122	19156	19211	19320	19297	19353	19507	19403	19802	19883	19957	499	460	1006	355	517
20358	20391	20436	20561	20537	20594	20726	20647	21055	21110	21200	528	490	1009	391	528
21553	21582	21639	21758	21733	21791	21944	21845	21851	22074	22142	519	460	1003	366	532
22767	22801	22845	22968	22943	23001	23152	23054	23479	23520	23584	522	479	1014	370	517
24022	24057	24106	24223	24199	24257	24396	24307	24313	24563	24619	525	483	1006	379	526
25201	25231	25285	25403	25378	25435	25583	25488	25626	25727	25791	513	461	984	366	496
26453	26485	26557	26656	26632	26689	26827	26741	26746	27029	27087	514	471	1011	364	547
27813	27847	27903	27905	27885	27947	27995	27965	28178	28202	28231	527	402	1009	514	531
28848	28863	28886	29049	29017	29076	29131	29116	29321	29356	29371	745	241	787	236	545
29978	29987	30013	30063	30034	30097	30187	30168	30366	30401	30426	599	507	966	354	521
30846	30897	30933	31048	31023	31087	31198	31140	31357	31365	31435	551	481	954	409	539
31551	31568	31593	31981	31958	32014	32159	32067	32073	32320	32395	542	472	1022	371	538
32744	32779	32829	32931	32906	32963	33117	33015	33171	33285	33360	515	471	1022	353	522
33706	33744	33782	33896	33872	33931	34057	33985	34122	34269	34312	517	477	1022	364	537
34679	34719	34759	34867	34843	34901	35051	34952	34957	35213	35274	526	474	1022	355	534
35621	35657	35704	35808	35784	35841	35990	35895	36048	36175	36263	513	462	1022	336	541
36633	36666	36712	36818	36793	36851	36985	36900	37063	37196	37281	518	475	1022	355	525
37652	37691	37731	37843	37818	37875	38026	37927	38073	38211	38282	521	491	1022	365	535
38493	38511	38531	38839	38814	38872	39037	38927	39130	39194	39265	518	445	1022	343	551
39674	39705	39766	39861	39837	39893	40050	39947	40099	40238	40279	519	467	1022	350	507
40734	40767	40818	40920	40895	40952	41106	41005	41215	41285	41418	518	470	1022	364	530
41780	41812	41851	41973	41948	42005	42137	42058	42062	42308	42362	520	467	1022	363	558
42802	42840	42888	42991	42966	43023	43169	43076	43081	43348	43424	517	467	1022	348	521
43774	43797	43852	44047	44023	44080	44225	44134	44492	44590	44611	477	429	1022	330	544
44946	44975	45029	45128	45103	45160	45299	45214	45219	45438	45522	549	483	1022	371	528
45984	46024	46062	46180	46156	46212	46351	46267	46269	46514	46565	534	489	1022	370	535
46932	46953	46988	47314	47290	47346	47502	47398	47406	47648	47757	524	473	1022	364	521
48268	48307	48350	48464	48440	48498	48648	48554	48694	48782	48840	525	483	1022	367	533
49364	49397	49444	49556	49531	49588	49742	49641	49791	49884	49926	514	461	1022	355	523
50478	50514	50574	50668	50645	50703	50838	50757	50911	51015	51065	516	478	991	380	518
51603	51636	51655	51796	51771	51829	51995	51882	51889	52107	52188	507	466	1022	372	535
52581	52611	52736	52934	52911	52966	nan	53020	nan	nan	nan	527	475	1022	352	536
53927	53955	54035	54119	54095	54153	54306	54209	54376	54450	54506	527	472	1022	355	526
55095	55129	55156	55281	55252	55315	55472	55371	55375	55600	55685	524	489	1022	383	527
