445	477	508	594	580	624	773	669	892	977	1066	527	502	1021	363	553
1312	1352	1381	1393	1452	1495	1645	1540	1769	1858	1947	510	485	1013	352	581
2191	2226	2264	2344	2330	2373	2517	2421	2642	2727	2822	527	488	1001	354	564
3067	3104	3136	3222	3208	3250	3384	3299	3543	3604	3676	531	497	1017	360	536
3931	3966	3999	4020	4068	4112	4240	4157	4392	4471	4552	519	494	1019	356	564
4747	4791	4890	4958	4946	4987	5137	5034	5259	5346	5430	553	475	992	340	565
5707	5731	5773	5777	5846	5889	6025	5935	6166	6248	6315	529	501	1022	369	569
6610	6642	6675	6763	6748	6792	6944	6838	7083	7155	7251	526	462	984	322	557
7513	7550	7584	7669	7650	7699	7850	7745	7970	8057	8197	524	492	1004	357	576
8419	8451	8485	nan	8558	8600	8667	8646	8877	8955	9080	523	490	1013	363	576
9154	9158	9219	nan	9442	9485	9648	9532	9757	9840	9925	518	492	1019	338	557
10194	10227	10263	10345	10331	10374	10519	10422	10646	10733	10827	520	494	1008	348	577
11075	11108	11138	11225	11208	11254	11396	11302	11525	11608	11694	519	484	1003	364	584
11942	11979	12009	12095	12081	12123	12262	12172	12405	12479	12502	527	487	1012	355	545
12797	12833	12867	12949	12935	12979	13116	13028	13253	13332	13429	515	486	1006	349	579
13675	13708	13743	13828	13814	13857	13995	13906	14132	14214	14294	521	461	997	360	591
14557	14598	14628	14711	14695	14739	14871	14788	15010	15094	15171	527	461	1009	354	553
15282	15287	15333	15495	15564	15605	15743	15651	15880	15961	16060	498	482	1001	344	575
16310	16339	16377	nan	16447	16488	16663	16537	16767	16834	16915	525	501	1018	374	620
17169	17236	17252	17169	17318	17371	17471	17420	17614	17735	17812	508	499	1007	345	556
17884	17940	18066	18149	18206	18244	18326	18291	18528	18608	18635	516	489	1016	353	551
18948	18982	19010	nan	19079	19123	19275	19174	19392	19481	19591	522	480	1018	369	594
19810	19859	19889	19914	19963	20002	20075	20046	20288	20359	20462	535	492	1009	364	556
20659	20691	20734	20812	20796	20840	20993	20887	21112	21197	21255	527	475	993	376	550
21491	21518	21551	nan	21624	21666	21790	21714	21916	22034	22109	523	490	993	364	546
22312	22346	22387	nan	22452	22493	22650	22542	22773	22852	22934	512	493	987	359	547
23167	23196	23234	nan	23301	23344	23466	23390	23626	23702	23833	532	477	1012	387	577
24008	24046	24080	24165	24148	24192	24331	24238	24472	24551	24641	529	492	994	352	542
24875	24902	24936	25020	25006	25049	25200	25093	25328	25404	25521	515	497	987	357	564
25745	25771	25809	25892	25879	25920	26066	25968	26195	26273	26361	528	359	998	367	574
26612	26644	26679	26763	26748	26791	26940	26837	27072	27151	27270	510	476	986	349	561
27477	27512	27543	27629	27616	27658	27795	27707	27942	28016	28132	527	282	994	359	572
28348	28377	28413	28498	28482	28525	28665	28569	28806	28888	28971	529	644	996	364	568
29071	29078	29094	29345	29331	29373	29513	29420	29665	29734	29818	515	457	981	349	554
30056	30088	30124	30133	30195	30237	30381	30284	30529	30587	30673	524	470	1003	373	554
30851	30910	30930	30932	31080	31119	31197	31165	31449	31485	31537	529	484	1022	388	529
31652	31750	31791	31876	31928	31963	32036	32024	32045	32063	32077	556	478	1022	422	454
32650	32685	32689	32647	32686	32765	32794	32831	32961	32998	33021	615	502	1022	268	769
33271	33298	33361	33434	33511	33547	33611	33592	33845	33891	33972	465	480	851	305	587
34162	34169	34225	34247	34291	34333	34374	34608	34478	34507	34540	733	498	1022	303	403
34950	35029	35076	35097	35032	35130	35247	35175	35337	35390	35432	504	479	916	327	488
35824	35851	35867	nan	35931	35979	36059	36029	36220	36316	36335	473	486	969	381	552
36597	36638	36687	36690	36742	36784	36944	36825	37099	37149	37223	518	500	940	340	547
37445	37484	37508	37539	37584	37624	37776	37669	37876	37979	37985	510	430	939	384	551
38124	38133	38150	38322	38382	38433	38541	38479	38753	38792	38807	525	493	982	384	551
39065	39100	39105	39157	39200	39245	39356	39288	39592	39602	39621	526	504	973	382	598
39734	39755	39768	39953	39996	40065	40202	40111	40347	40424	40444	552	451	925	376	553
40558	40568	40579	40781	40832	40877	40996	40923	41162	41234	41246	543	495	966	372	552
41385	41394	41404	41597	41636	41681	41753	41729	41985	42036	42080	510	484	976	370	559
42149	42157	42174	42406	42439	42488	42625	42536	42760	42844	42867	521	463	943	358	566
42978	42983	42995	43124	43271	43310	43485	43354	43562	43641	43829	530	509	1005	413	653
43830	43835	43891	43892	44053	44099	44233	44145	44368	44453	44470	457	487	919	306	531
44754	44785	44819	44859	44875	44924	45042	44974	45276	45282	45314	517	492	948	369	557
45558	45591	45623	45671	45692	45735	45876	45774	46047	46083	46247	527	484	979	383	563
46249	46260	46269	46429	46501	46546	46702	46597	46824	46901	46966	482	492	950	349	560
47221	47249	47278	47346	47337	47389	47536	47438	47704	47744	47753	523	498	957	370	578
48050	48092	48126	48201	48130	48228	48358	48271	48570	48598	48643	548	487	983	412	752
48366	48385	48423	48529	48556	48598	48669	48648	48652	48674	48703	549	497	752	438	563
48708	48735	48767	nan	49011	49070	49113	49145	49381	49428	49484	488	480	983	379	555
49757	49788	49820	49835	49875	49929	50037	49974	50289	50297	50373	547	485	959	385	569
50576	50609	50647	50654	50702	50754	50862	50800	51060	51114	51190	527	505	947	369	556
51237	51260	51323	nan	51555	51597	51701	51648	51870	51955	52013	528	487	930	382	581
