896	919	933	1014	1002	1040	1088	1080	1169	1179	1191	519	492	700	497	538
1503	1525	1538	1692	1675	1719	1777	1804	1987	2003	2011	530	478	684	440	534
2028	2054	2066	2168	2155	2180	2225	2213	2348	2370	2399	541	517	582	493	561
2765	2773	2798	2993	2976	3020	3061	3106	3179	3199	3211	547	460	575	447	468
3570	3598	3625	3689	3675	3712	3765	3773	3805	3828	3835	514	488	604	482	490
4238	4265	4284	4363	4346	4385	nan	4437	nan	nan	nan	509	483	612	476	492
4887	4917	4950	5013	4996	5038	5089	5083	5189	5199	5212	515	482	615	477	516
5566	5600	5618	5691	5675	5716	5810	5762	5857	5874	5882	522	502	638	492	497
6318	6342	6384	6438	6421	6464	6548	6509	6769	6779	6795	516	481	601	476	498
7040	7059	7069	7151	7134	7172	7189	7217	7267	7277	7287	511	472	599	476	497
7554	7572	7591	7811	7796	7834	7899	7872	7877	8013	8044	556	446	582	473	481
8276	8285	8300	8494	8479	8526	8566	8579	8602	8624	8651	512	480	600	471	494
9087	9128	9156	9215	9198	9240	9313	9281	9399	9408	9422	514	473	590	471	494
9825	9855	9880	9943	9927	9966	10061	10011	10185	10205	10228	505	475	600	472	496
10501	10520	10552	10617	10602	10642	nan	10693	nan	nan	nan	515	482	624	476	515
11072	11082	11098	11313	11298	11341	11384	11398	11454	11469	11482	518	487	621	478	491
11799	11813	11833	12052	12037	12075	nan	12137	nan	nan	nan	521	484	620	473	479
12609	12649	12669	12736	12721	12760	12822	12806	13065	13079	13089	508	480	630	472	526
13304	13331	13364	13426	13410	13453	13530	13500	13594	13619	13633	511	484	626	470	487
14056	14084	14104	14173	14156	14196	14239	14250	14276	14297	14318	512	481	615	473	527
14663	14673	14696	14904	14889	14927	nan	14974	nan	nan	nan	521	467	622	467	483
15516	15556	15582	15643	15628	15671	nan	15722	nan	nan	nan	515	489	633	480	515
16187	16196	16211	16432	16417	16455	nan	16504	nan	nan	nan	516	482	613	471	493
17028	17058	17085	17145	17131	17169	nan	17218	nan	nan	nan	506	478	622	475	505
17748	17770	17804	17863	17847	17891	nan	17940	nan	nan	nan	518	483	615	471	504
18530	18571	18597	18653	18637	18676	18732	18716	18956	18969	18977	511	481	605	450	511
19264	19304	19341	19404	19387	19426	19526	19479	19574	19580	19615	512	476	587	472	494
19964	20003	20013	20081	20068	20104	20157	20145	20235	20257	20288	514	509	622	516	520
20481	20496	20515	20733	20717	20759	nan	20807	nan	nan	nan	519	470	608	467	568
21268	21293	21325	21385	21369	21415	21484	21461	21552	21563	21579	515	480	619	467	497
21835	21845	21859	22073	22058	22101	22155	22144	22394	22424	22445	499	471	609	463	503
22649	22685	22702	22771	22755	22794	nan	22845	nan	nan	nan	517	482	635	473	497
23311	23340	23361	23432	23417	23459	nan	23513	nan	nan	nan	522	487	639	475	518
24020	24054	24073	24141	24126	24166	24262	24211	24273	24322	24343	511	484	622	474	515
24719	24737	24753	24928	24912	24952	25058	25001	25251	25266	25289	507	475	622	471	496
25526	25556	25574	25642	25627	25667	nan	25716	nan	nan	nan	513	486	640	480	517
26157	26181	26213	26383	26368	26410	nan	26453	nan	nan	nan	514	485	623	476	510
27035	27070	27090	27163	27148	27186	27252	27238	27472	27477	27489	518	489	625	477	509
27766	27789	27816	27887	27872	27911	28038	27960	28193	28214	28236	507	482	628	482	507
28503	28537	28562	28624	28608	28650	nan	28696	nan	nan	nan	515	483	624	472	491
29317	29348	29374	29435	29420	29461	29548	29504	29611	29630	29656	510	481	617	470	497
30093	30127	30146	30217	30202	30241	nan	30292	nan	nan	nan	512	480	626	472	510
30812	30840	30865	30932	30917	30959	nan	31000	nan	nan	nan	518	485	639	477	493
31435	31461	31534	31659	31641	31688	31738	31726	31939	31957	31969	513	475	621	465	506
32149	32163	32172	32395	32380	32418	32476	32465	32642	32658	32698	566	479	612	472	512
32928	32975	32995	33067	33051	33092	nan	33151	nan	nan	nan	491	446	610	446	500
33626	33661	33713	33756	33739	33781	33849	33823	33879	33899	33921	525	496	657	485	516
34364	34383	34418	34477	34460	34502	34597	34545	34625	34669	34684	520	490	610	481	500
35065	35088	35137	35184	35168	35207	35283	35266	35453	35468	35487	522	490	624	476	536
35722	35752	35775	35843	35828	35868	nan	35915	nan	nan	nan	514	487	625	473	522
36299	36315	36341	36516	36498	36543	nan	36581	nan	nan	nan	509	477	617	470	517
37093	37119	37140	37210	37195	37235	nan	37281	nan	nan	nan	508	482	615	473	496
37701	37716	37736	37891	37876	37913	nan	37970	nan	nan	nan	512	486	624	472	510
38413	38439	38452	38534	38521	38559	38619	38599	38833	38858	38889	509	486	639	478	507
38989	38998	39015	39186	39170	39216	39298	39260	39499	39526	39531	516	479	591	471	514
39724	39754	39780	39843	39828	39865	39923	39911	40017	40046	40063	513	480	616	476	494
40388	40422	40434	40510	40494	40539	40576	40585	40842	40854	40869	513	488	620	480	517
41064	41101	41122	41186	41170	41209	nan	41258	nan	nan	nan	517	483	611	476	513
41730	41757	41774	41846	41831	41869	nan	41913	nan	nan	nan	523	492	624	483	490
